1.wav|ŋu lɔ-hɔ-ɦəʔ , noŋ-ɲi ?
1105.wav|doʔ=sz=ɲɪɲ
1106.wav|ɕiɔ-ʦz
1107.wav|du-lɔ kʷø1
1108.wav|ɤ=bo1=sɑ̃1
1109.wav|ʦy=ɲioʔ=bã=ɦiɤ
111.wav|ŋu siã ʦʰɪɲ noŋ-cʰi ʦʰø-kʷø kʰu1=ɟi kʷø .
1110.wav|siɔ=ʦz
1111.wav|siɔ=kʰe
1112.wav|zɑ̃=sz1
1113.wav|tɪɲ=dɤ-lɑ̃=sz1
1114.wav|dɤ=dɤ
1115.wav|ʦz-zəŋ
1116.wav|lɔ pe
1117.wav|lɔ pe ɲiã
1118.wav|du-lɔ-pe
1119.wav|cɪɲ=li
112.wav|vɐʔ hɔ=i-sz1 , ŋu cɪɲ1=ʦɔ1 ɦo-pø-tʰi1 məʔ zəŋ-kʷɑ̃1 .
1120.wav|koŋ1=dɤ
1121.wav|ke-koŋ1
1122.wav|ʦʰã=ʦã
1123.wav|koŋ1=zəŋ sz
1124.wav|ɟi-zəʔ ɲɪɲ-ɦiø
1125.wav|kʷe-ci
1126.wav|ʦʰəʔ=nɐʔ
1127.wav|ʦu-ʦã
1128.wav|ci=ɲi=ɦiø
1129.wav|tɑ̃-ʦoŋ1-ɲɪɲ
113.wav|noŋ məŋ-ʦɔ1 ɦiɤ=kʰoŋ1 vɐʔ ?
1130.wav|ʦoŋ1-kɑ
1131.wav|lɐʔ=dɤ
1132.wav|ne-ɟɪɲ
1133.wav|ŋɑ=ɟɪɲ
1134.wav|ʦʰe=kɤ=ɦiø
1135.wav|hu-ci
1136.wav|koŋ1-ɲɪɲ
1137.wav|siɔ=koŋ1
1138.wav|lɪɲ=koŋ1
1139.wav|mɪɲ=koŋ1
114.wav|kɐʔ=ʦɤ1=məʔ ɦiɤ=kʰoŋ1 vɐʔ ?
1140.wav|zɑ̃=sɤ
1141.wav|ɦo-sɤ
1142.wav|pɑ̃=sɤ
1143.wav|ɦioŋ-ɲɪɲ
1144.wav|boʔ-ɲɪɲ
1145.wav|pɔ-mu
1146.wav|ʦoŋ=ti=koŋ1
1147.wav|o1-dɤ
1148.wav|ɦoʔ-sã1-i
1149.wav|tʰe=fe
115.wav|ŋu siã=tɔ noŋ oʔ=li kʰø1=noŋ .
1150.wav|zz=sz
1151.wav|bɔ=dɑ̃
1152.wav|məŋ=vɑ̃
1153.wav|sɑ̃1-ɲɪɲ
1154.wav|sã1-i=ɲɪɲ
1155.wav|ʦʰɪɲ1=ʦʰəŋ1 ve
1156.wav|vɑ̃=ʦʰe=sɑ̃1
1157.wav|vɑ̃=zoŋ
1158.wav|ti-ɦiø
1159.wav|zɤ=hu=ɦiø
116.wav|dɑ-ke vɐʔ le=se .
1160.wav|lɪʔ-gʷe de gəʔ
1161.wav|mɑ-pʰiɔ-ɦiø
1162.wav|zɤ=pʰiɔ ɦiø
1163.wav|ʦəŋ-ɲɪɲ
1164.wav|i-ɦiø
1165.wav|di=ɪɲ mɪɲ=sɪɲ1
1166.wav|i-sã1
1167.wav|wu=zz
1168.wav|kʰø1=wu
1169.wav|pɔ=ɦioʔ ɦiø
117.wav|bɪʔ-ɦəʔ zəŋ-kʷɑ̃1 le=se vɐʔ ?
1170.wav|kɔ1-sz-si1-sã1
1171.wav|noŋ=mɪɲ
1172.wav|zã-koŋ1
1173.wav|tø=koŋ1
1174.wav|ci=ʦe
1175.wav|lɔ=ci
1176.wav|cɪɲ=ʦʰɐʔ
1177.wav|həʔ='mɔ
1178.wav|lɔ='mɔ
1179.wav|pɔ=piɔ
118.wav|cɪɲ1=ʦɔ1 ɦiɑ=li ŋu ɦiɤ=kʰoŋ1 .
1180.wav|ɦiɤ=di=ɦiø
1181.wav|kɑ-sz=ɦiø
1182.wav|sz1=ci1
1183.wav|ʦʰo-mu
1184.wav|moʔ=ziã
1185.wav|moʔ=koŋ1
1186.wav|ʦʰɪɲ1=cɪʔ=koŋ1
1187.wav|ʦʰɪɲ1=dɔ=fu
1188.wav|ciɐʔ=səʔ
1189.wav|mo=ʦz
119.wav|hɔ-ku , cɪɲ1=ʦɔ1 ɦiɑ=tɔ ɑ1-'lɑ ɪʔ=dɔ cʰi-kʰø1 di=ɪɲ .
1190.wav|mu=ʦz
1191.wav|lɔ=zəʔ ɲɪɲ
1192.wav|lɔ=hɔ-ɲɪɲ
1193.wav|mɪɲ=bɐʔ-ɲɪɲ
1194.wav|hɔ=hɔ=si1-sã1
1195.wav|lɔ=fɐʔ=sz
1196.wav|lɔ kʰəʔ-'lɑ
1197.wav|dɐʔ-ɲɪɲ
1198.wav|lɔ=sɤ
1199.wav|ŋã=dɤ
12.wav|siɔ=ɲɪɲ hɔ=vɐʔ ?
120.wav|cʰi-ɦəʔ zəŋ-kʷɑ̃1 ciɔ=wɑ̃=li ɪʔ=dɔ .
1200.wav|ɟiã-ɲɪɲ
1201.wav|iɔ1-ɲɪɲ
1202.wav|fi=ɲɪɲ
1203.wav|iɔ1=kʷɑ
1204.wav|cɪɲ1=lɪɲ
1205.wav|wɑ̃=lɔ=ŋ
1206.wav|bɐʔ=kʷəʔ=ʦɪɲ1
1207.wav|mɑ̃=zoŋ
1208.wav|di-kʰʷø ci1
1209.wav|ho1=ho1=koŋ1=ʦz
121.wav|ɑ1-'lɑ 'ləʔ he ɑ1-li tɪʔ bã=dɤ ?
1210.wav|ɐʔ1-fi
1211.wav|pʰɪɲ1=dɤ
1212.wav|zɪɲ-ɲɪɲ
1213.wav|siɔ lɔ=koŋ1
1214.wav|ɦiɑ=ci
1215.wav|pʰi=ʦɪɲ1
1216.wav|di=dɤ zo
1217.wav|pʰi=ʦz
1218.wav|kʷɑ ʦz
1219.wav|pɪʔ=se1
122.wav|noŋ sɑ-zəŋ-kʷɑ̃1 fɑ̃=bi ?
1220.wav|ɟiã-dɔ
1221.wav|siɔ=tʰɤ1
1222.wav|se1=ʦɐʔ1=sɤ
1223.wav|ly-mɑ̃
1224.wav|ɦiɑ=ɦiɑ
1225.wav|lɔ=tiɑ1
1226.wav|ɐʔ1-nɑ
1227.wav|ŋɑ=koŋ1
1228.wav|ŋɑ=bu
1229.wav|tʰɑ=tʰɑ
123.wav|ɦo-pø-tʰi1  ti=ʦoŋ nɑ-nəŋ ?
1230.wav|ɦiɑ=ɲiã
1231.wav|pɑ-pɑ
1232.wav|'m-'mɑ
1233.wav|'mɑ='mɑ
1234.wav|ɲiã
1235.wav|ku=vɑ̃=ɲiã
1236.wav|koŋ1=bu
1237.wav|koŋ1=koŋ1
1238.wav|bu=bu
1239.wav|ɑ1-bu
124.wav|di ɪɲ=ɦiø , vɐʔ ci=vɐʔ=se .
1240.wav|zã-ɲɪɲ
1241.wav|pɐʔ-pɐʔ
1242.wav|dɑ-pɐʔ
1243.wav|soʔ=soʔ
1244.wav|ɦiɑ=soʔ
1245.wav|soʔ=vu
1246.wav|ku1=vu
1247.wav|'nyã-'nyã
1248.wav|ku1='mɑ
1249.wav|ɦi='mɑ
125.wav|wɑ̃ li , ŋu siã=tɔ noŋ oʔ=li kʰø1=kʰø1 ciɔ .
1250.wav|ɦi-fu
1251.wav|ɐʔ1-ɦi
1252.wav|ɲiã=ɟy
1253.wav|ɟy=ɟy
1254.wav|ɟy='mɑ
1255.wav|fu-ʦʰi1
1256.wav|zã-fu
1257.wav|lɔ=koŋ1
1258.wav|nø-ɲɪɲ
1259.wav|ʦʰi1=ʦz
126.wav|ʦʰɪɲ tɑ=noŋ si1-sã1 ɪʔ=dɔ=le bɐʔ siã1=hɔ 'ləʔ .
1260.wav|lɔ=bu
1261.wav|tʰɑ=tʰɑ
1262.wav|fu-ɲɪɲ
1263.wav|ɲy-ɲɪɲ
1264.wav|siɔ=lɔ=bu
1265.wav|ku1=ku1
1266.wav|ɑ1-ku1
1267.wav|ɐʔ1-sɔ
1268.wav|sɔ=sɔ
1269.wav|ʦiɑ-ʦiɑ
127.wav|ɑ1-'lɑ oʔ=li siã1=gəʔ ɲɪɲ=ze hʷø=ɲɪɲ=noŋ .
1270.wav|ɐʔ1-ʦiɑ
1271.wav|ʦiɑ-me
1272.wav|ʦz=me
1273.wav|ʦiɑ-fu
1274.wav|ɕioŋ1-di
1275.wav|di-di
1276.wav|ɑ1-di
1277.wav|di-sɪɲ1-vu
1278.wav|me=me
1279.wav|ɐʔ1-me
128.wav|məŋ-ʦɔ1 zz ŋu gəʔ sã1-ɲiɪʔ .
1280.wav|me-fu
1281.wav|tɑ̃=ɕioŋ1
1282.wav|dɑ̃-di
1283.wav|dɑ̃=me
1284.wav|piɔ=ku1
1285.wav|piɔ=ɕioŋ1
1286.wav|piɔ-di
1287.wav|piɔ=me
1288.wav|ʦz-ɲy
1289.wav|siɔ-ɲɪɲ
129.wav|ŋu siã ʦʰɪɲ=noŋ ʦʰø-kɑ1 ŋu gəʔ sã1-ɲiɪʔ zy-we .
1290.wav|siɔ=nø
1291.wav|siɔ=po-ɕi
1292.wav|siɔ=mɔ=dɤ
1293.wav|kʷɑ1=nø
1294.wav|ɐʔ1-'nø
1295.wav|doʔ-ɦiã-ɲi-ʦz
1296.wav|r-ʦz
1297.wav|ku-vɑ̃-ɲi-ʦz
1298.wav|nø-ŋ
1299.wav|ku=vɑ̃=nø r
13.wav|ɪʔ-pe , vɐʔ zz lɔ=hɔ .
130.wav|noŋ le hɔ vɐʔ ?
1300.wav|sz1=sã1-ʦz
1301.wav|sɪɲ1=vu
1302.wav|ɲy-si
1303.wav|zɑ̃-məŋ-ɲy-si
1304.wav|mɔ=ciɐʔ
1305.wav|zəʔ=ʦz
1306.wav|zəʔ=nø
1307.wav|ŋɑ=sã1
1308.wav|ŋɑ-sã1-nø
1309.wav|səŋ-ʦz
131.wav|ŋu fi1=zã kɔ1=ɕɪɲ ʦɪʔ=zɤ noŋ-ku iɔ1=ʦʰɪɲ .
1310.wav|səŋ-nø
1311.wav|səŋ-ɲy
1312.wav|səŋ-ɲy=si
1313.wav|ʦəŋ1-səŋ
1314.wav|ʦəŋ1-səŋ=ɲy
1315.wav|he=pʰɑ
1316.wav|ʦʰɑ̃=ku1
1317.wav|mɪɲ=ku1
1318.wav|ɦəʔ-ʦʰɑ̃
1319.wav|ʦʰɑ̃ 
132.wav|ɑ1-'lɑ cʰi=ʦʰɪʔ nø=ziã siɔ=loŋ hɔ=vɐʔ ?
1320.wav|tʰiɔ-vu
1321.wav|pɑ1-le=vu
1322.wav|ʦɤ-de
1323.wav|səʔ-ʦʰɑ̃
1324.wav|kɑ̃=ɟɪɲ
1325.wav|siɔ=di-ɟɪɲ
1326.wav|sɑ kʰəʔ=sz1 foŋ
1327.wav|təŋ=loŋ
1328.wav|tʰəʔ=kʰɤ=sy
1329.wav|ʦu-ɕi
133.wav|lã ɦi , lɔ lɪɲ-ɦəʔ .
1330.wav|ʦʰɑ̃-ɕi
1331.wav|wu=ɟɪʔ
1332.wav|ɦiɪʔ=ɟɪʔ
1333.wav|zɔ-ɕɪɲ-ɕi
1334.wav|wɐʔ-ci1-ɕi
1335.wav|ʦʰɑ̃-doʔ-ciɐʔ-ɕi
1336.wav|bɪɲ=de
1337.wav|səʔ-sz
1338.wav|sɪʔ=ɟɪʔ
1339.wav|kʰʷəŋ1=cʰioʔ
134.wav|noŋ hɔ me-hɔ gəʔ .
1340.wav|cɪɲ1-ɕi
1341.wav|ɐʔ-de-ɕi
1342.wav|i-ɕi
1343.wav|i=ʦʰəʔ
1344.wav|i-ɦiø
1345.wav|dɑ=bɑ
1346.wav|zã-ʦz
1347.wav|ɲiɪʔ=zã
1348.wav|ɦiɑ-zã
1349.wav|ʦʰɑ̃=koŋ1
135.wav|ɑ1-'lɑ ze piɔ=ɦi təʔ lɔ-hɔ-ɦəʔ .
1350.wav|pʰiɔ=ʦz
1351.wav|tiɔ=sɑ̃=ʦz
1352.wav|ku-ʦʰɑ̃
1353.wav|ʦø1-sɪɲ1
1354.wav|fəŋ=sz
1355.wav|lɑ=lɑ de
1356.wav|he=si
1357.wav|ɦiɤ-loʔ=zã
1358.wav|si1=ɦiã cɪɲ
1359.wav|kʷɑ̃=pu
136.wav|ve=kɑ̃ , noŋ cɪɲ1=ʦɔ1 kʰø1 cʰi=le vɐʔ ʦʰu .
1360.wav|di=ɪɲ
1361.wav|di ɪɲ=ɦiø
1362.wav|pʰi=ʦz
1363.wav|ʦʰiã=pe
1364.wav|di=zz
1365.wav|mɔ=pʰi
1366.wav|ɦɪɲ=doŋ zã
1367.wav|tʰi=ɦioʔ=zã
1368.wav|ɟy-zã
1369.wav|tʰi=ɦioʔ
137.wav|noŋ ku-dɤ fɐʔ ʦu-liɔ me-hɔ gəʔ .
1370.wav|su-kɔ bɔ=dɔ
1371.wav|tã=ɟy
1372.wav|le=ɟy
1373.wav|se1=te se1
1374.wav|bɑ=ɟy
1375.wav|ʦoʔ=ɟy
1376.wav|pe=təŋ
1377.wav|gɔ=r
1378.wav|ŋã ciɐʔ=dɤ
1379.wav|pʰɪɲ=pʰã=ɟy
138.wav|noŋ ʦʰø1 gəʔ i1=zɑ̃ lɔ təʔ=tʰi gəʔ .
1380.wav|de ɟy
1381.wav|tã=pʰɪɲ=pʰã
1382.wav|kɔ1=r=fu=ɟy
1383.wav|pɔ=lɪɲ ɟy
1384.wav|poʔ=kʰəʔ=ɕioŋ
1385.wav|tã=loʔ-de
1386.wav|z=mɔ=ɟy
1387.wav|se1=mɔ ɟy
1388.wav|tʰi=ʦʰɔ1
1389.wav|toʔ=kʰe-ɟy
139.wav|noŋ cɪɲ1=ʦɔ1 lɔ=hɔ kʰø1-ku .
1390.wav|dɔ se1=ɦiã
1391.wav|tʰiɔ-kɔ1
1392.wav|tʰiɔ-ɦiø
1393.wav|pəʔ=wu
1394.wav|ɦiɤ=ioŋ
1395.wav|zz=ɦiɤ=ioŋ
1396.wav|ɦiɤ=ioŋ=zz
1397.wav|fe1=kəŋ1=tɤ
1398.wav|pʰe1 ŋe
1399.wav|pã=ɟɪʔ
14.wav|ɦi=le 'ləʔ he=ʦəŋ=be kɔ1=kʰɔ .
140.wav|noŋ lɔ ɕiɪʔ=ɦɪɲ ɲɪɲ=gəʔ .
1400.wav|kɑ1-ɦiɤ
1401.wav|ʦʰɔ=kəʔ
1402.wav|miɔ sɐʔ
1403.wav|həʔ=sɔ1
1404.wav|ʦɔ=lɑ̃ hɔ , zəŋ si1-sã1 !
1405.wav|zz ʦã si1-sã1 ɑ , noŋ hɔ !
1406.wav|ʦã ɦiø vəʔ ci , ŋu lɔ siã-ɲi noŋ-ku !
1407.wav|ŋu-ɦɑ zã=zã siã=le mɑ̃ mɑ̃-noŋ .
1408.wav|cɪɲ1=ʦɔ1 bã=tɔ noŋ ŋu ciɔ1-kʷe kʰe=sɪɲ1 .
1409.wav|noŋ gəʔ ʦʰiã səŋ1=tʰi hɔ=vɐʔ ?
141.wav|noŋ-ku ɪɲ1=vəŋ kɑ̃='ləʔ ciɔ1-kʷe hɔ .
1410.wav|səŋ1=tʰi me-hɔ .
1411.wav|noŋ ʦø=ɟɪɲ hɔ=vɐʔ ?
1412.wav|ɦe-hɔ , vəʔ du-mɑ̃ , noŋ-ɲi ?
1413.wav|gəʔ ʦʰiã li ŋu lɔ=mɑ̃=gəʔ !
1414.wav|ʦã ɐʔ1-ɦi , zz ŋu le 'ləʔ .
1415.wav|ʦʰɪɲ ʦɪɲ=le !
1416.wav|le , le , zu ɑ , ʦʰɪɲ zu .
1417.wav|məʔ=sɑ hɔ ʦɔ1=de noŋ-ku .
1418.wav|noŋ iɔ1=cʰɪʔ kʰɑ-fi ɦe-zz iɔ1 cʰɪʔ=zo ɑ ?
1419.wav|ɐʔ1-ɦi vəʔ=iɔ1=kʰɐʔ=cʰi , tɔ=pe1 bɐʔ=kʰe=sz cʰɪʔ cʰɪʔ=hɔ 'ləʔ .
142.wav|noŋ-ku kʰɤ=ɲy ʦəŋ1=hɔ .
1420.wav|cɪɲ1 zɔ1-noŋ zɑ̃=məŋ=le , ɦiɤ=ti sɑ=zz=tʰi ɑ ?
1421.wav|ŋu ɦiɤ=ti siɔ zz=tʰi siã ʦʰɪɲ=noŋ pɑ̃=mɑ̃ .
1422.wav|noŋ=iɔ1 ʦɤ 'lɑ ?
1423.wav|zəŋ-kʷɑ̃1 vəʔ ʦɔ 'ləʔ , ŋu=iɔ1 we-cʰi 'ləʔ .
1424.wav|ʦe zu ɪʔ=ɕiɪʔ hɔ=le .
1425.wav|vəʔ zu 'ləʔ , ŋu-we ɦiɤ=ti zz=tʰi 'ləʔ he .
1426.wav|kəʔ=məʔ ŋu soŋ=soŋ noŋ .
1427.wav|vəʔ=iɔ1 soŋ=təʔ=gəʔ , ŋu zz-ciɑ1 ʦɤ .
1428.wav|vəʔ=iɔ1=cɪɲ gəʔ , soŋ=noŋ tɔ di=tʰi1=kʰɤ .
1429.wav|ziɑ=ziɑ , ziɑ=ziɑ .
143.wav|noŋ ʦəŋ1=vɐʔ ɦioŋ-i .
1430.wav|ʦɤ=hɔ , ʦɤ=hɔ , gəʔ=tɐʔ ʦe=təŋ kʰe=ɪʔ=kʰe .
1431.wav|ly=bu , ly=bu , vəʔ=iɔ1 soŋ 'ləʔ .
1432.wav|ʦe-we ! ɦiɤ=kʰoŋ1 tu1=le bɐʔ=siã1=siã1 !
1433.wav|ɪʔ=dɪɲ le . pɑ e , pɑ e !
1434.wav|mo=ve noŋ 'ləʔ .
1435.wav|ne loŋ təʔ=noŋ cɪɲ1=ʦɔ1 cʰɪʔ=lɪʔ sɐʔ 'ləʔ !
1436.wav|vəʔ tɐʔ=kɑ gəʔ !
1437.wav|noŋ-we ɦiɤ sɑ=gəʔ zz=tʰi iɔ1 ŋu pɑ̃=mɑ̃ vɐʔ ?
1438.wav|məʔ=sɑ 'ləʔ .
1439.wav|ŋu lɔ vəʔ hɔ=i-sz1 .
144.wav|noŋ ku=ʦiã 'ləʔ .
1440.wav|ziɑ=ziɑ=noŋ !
1441.wav|ziɑ=sɑ ! vəʔ=iɔ1 ziɑ , ŋu məʔ=kʷe=ɦi gəʔ .
1442.wav|ziɑ=ziɑ=noŋ ɲiã ɪʔ ɲiã hɔ vɐʔ ?
1443.wav|ɔ , gəʔ=tɐʔ noŋ hɔ ʦɤ=vɐʔ ?
1444.wav|oʔ=ɦioʔ , zɑ̃ zɐʔ noŋ 'ləʔ , te=vəʔ=cʰi !
1445.wav|vəʔ=iɔ1=cɪɲ gəʔ .
1446.wav|ʦʰɪɲ məŋ-noŋ kʷe-sɪɲ ?
1447.wav|ŋu sɪɲ=li .
1448.wav|dɑ mɪɲ-ciɔ sɑ ?
1449.wav|dɑ mɪɲ-ciɔ li=ʦʰɔ1 .
145.wav|wɑ̃=ɟiã , noŋ kʰø1=kʰø1 , kɐʔ di=fɑ̃ tu1=sɔ pʰiɔ1=liã ɑ .
1450.wav|ɦi sɑ-ɲɪɲ ɑ ?
1451.wav|ɦi zz wɑ̃ ɕiɔ mɪɲ .
1452.wav|ɦi sɑ=di=fɑ̃ ɲɪɲ ?
1453.wav|ŋu zz zɑ̃-he-ɲɪɲ .
1454.wav|ɦi sɑ=di=fɑ̃ le-ku ?
1455.wav|ɦi nø-cɪɲ1 le-ku .
1456.wav|ʦʰɪɲ məŋ-noŋ lɐʔ=lɐʔ ɑ1-li tɐʔ koŋ1=ʦoʔ ?
1457.wav|nɔ , gəʔ-ɦəʔ-zz ŋu gəʔ mɪɲ=pʰi .
1458.wav|noŋ tɔ zɑ̃=he le 'ləʔ tu1=sɔ zəŋ-kʷɑ̃1 'ləʔ ?
1459.wav|ŋu le 'ləʔ ciɔ1-kʷe zəŋ-kʷɑ̃1 'ləʔ .
146.wav|cʰi1=sz , ʦʰɔ=di , moʔ vɑ̃=ʦz , tʰəʔ=lɪɲ 'ləʔ .
1460.wav|noŋ zɑ̃-he-ɦe-ɦo ciã təʔ=le vɐʔ ?
1461.wav|tʰɪɲ zz tʰɪɲ=təʔ=toŋ ɪʔ=ŋe=ŋe , kɑ̃-zz ciã=vəʔ le-ku .
1462.wav|noŋ zz ʦu sɑ=gəʔ ?
1463.wav|ŋu zz ɑ1-'lɑ koŋ1=sz1 gəʔ tʰe1=siɔ=ɦiø .
1464.wav|e1=mi ɪʔ=we zz ʦu sɑ=gəʔ ?
1465.wav|ɦi ɦɑ-zz tʰe1=siɔ=ɦiø .
1466.wav|gəʔ we ɲy-zz zz tʰe1=siɔ=ɦiø=vɐʔ ?
1467.wav|vəʔ zz-ku , ɦi zz ɐʔ1-lɐʔ-ɦəʔ ɲiɪʔ=vu ʦz=kʷø .
1468.wav|lɪʔ=lɐʔ ʦʰɑ̃=kʰɤ dɤ-ɦəʔ gəʔ-ɦəʔ ɲɪɲ zz   ɲɪɲ 'nɑ  cɪɲ=li , te=vɐʔ ?
1469.wav|te-ɦəʔ , ɦi zz ɑ1-'lɑ cɪɲ=li .
147.wav|le=tʰi1 , bɐʔ ɦɪɲ , lɔ=lɪɲ lɔ lɪɲ-ɦəʔ .
1470.wav|gəʔ ŋe=ɲɪɲ ʦu sɑ=zz=tʰi gəʔ ?
1471.wav|dɑ-ke zz=ti koŋ1=sz1 ɦiø-koŋ1 .
1472.wav|ɦi lɑ vəʔ=zz koŋ1=sz1 ɦiø-koŋ1 ɑ ?
1473.wav|gəʔ ŋu tɔ vəʔ dɑ ɕiɔ=təʔ .
1474.wav|cɪɲ1=ʦɔ1 lɔ=vəʔ hɔ=i-sz1 gəʔ , ciɔ-noŋ təŋ 'ləʔ kɑ-ɕi-tu1 zəŋ-kʷɑ̃1 .
1475.wav|vəʔ=iɔ1=kʰɐʔ=cʰi , ŋu məʔ=kʷe=ɦi gəʔ .
1476.wav|gəʔ-ɦəʔ-zz ɟɪʔ=kʰəʔ si1-sã1 .
1477.wav|ɦi zz ŋu-ɦəʔ bã=ɦiɤ . ɲɪɲ 'nɑ=ɲɪɲ=təʔ vɐʔ ?
1478.wav|ɑ1-'lɑ vəʔ ɲɪɲ=təʔ .
1479.wav|ŋu le pɑ̃ ɲɪɲ 'nɑ ciɑ-zɔ ɪʔ-ɕiɑ .
148.wav|ʦʰɪɲ=noŋ vɐʔ iɔ1 cɪʔ .
1480.wav|ʦʰɪɲ=vəŋ , gəʔ we ɲy-zz zz sɑ-ɲɪɲ ?
1481.wav|ɦi ciɔ ʦəŋ1=ɲi .
1482.wav|ɲɪɲ=təʔ ɲɪɲ 'nɑ , ŋu lɔ kɔ1=ɕɪɲ gəʔ .
